headline

                                                                    Земетресение в Румъния| усетено е и у нас                                                                ,https://nova.bg/news/view/2020/10/04/301280/земетресение-в-румъния-усетено-е-и-у-нас/

                                                                    182 са новите случаи на COVID-19 у нас                                                                ,https://nova.bg/news/view/2020/10/04/301270/182-са-новите-случаи-на-covid-19-у-нас/

                                                                            „Темата на NOVA” в аванс: Пътят на кръвта                                                                        ,https://nova.bg/news/view/2020/10/04/301287/темата-на-nova-в-аванс-пътят-на-кръвта/

                                                                            Бойко Борисов посети нова църква в Габрово (ВИДЕО)                                                                        ,https://nova.bg/news/view/2020/10/04/301285/бойко-борисов-посети-нова-църква-в-габрово-видео/

                                                                            Кредитен анализатор: Имаме ръст на ипотечните кредити                                                                        ,https://nova.bg/news/view/2020/10/04/301284/кредитен-анализатор-имаме-ръст-на-ипотечните-кредити/

                                                                            Термометрите скачат до 35 градуса                                                                        ,https://nova.bg/news/view/2020/10/04/301271/термометрите-скачат-до-35-градуса/

                                                                            Лекарят на Тръмп: Здравето му се подобрява| но още не е извън опасност                                                                        ,https://nova.bg/news/view/2020/10/04/301276/лекарят-на-тръмп-здравето-му-се-подобрява-но-още-не-е-извън-опасност/

                                                                            Детските дебитни карти стават все по-популярни по време на пандемията                                                                        ,https://nova.bg/news/view/2020/10/04/301277/детските-дебитни-карти-стават-все-по-популярни-по-време-на-пандемията/

                                                                            Епидемиолог: COVID-19 не се разпространява равномерно по градовете| както грипът                                                                        ,https://nova.bg/news/view/2020/10/04/301279/епидемиолог-covid-19-не-се-разпространява-равномерно-по-градовете-както-грипът/

                                                                            400 ученици от Габрово учат онлайн| родителите недоволстват                                                                        ,https://nova.bg/news/view/2020/10/04/301281/400-ученици-от-габрово-учат-онлайн-родителите-недоволстват/

                                                                            Без ескалация на напрежението в 87-ата вечер на протести                                                                        ,https://nova.bg/news/view/2020/10/04/301274/без-ескалация-на-напрежението-в-87-ата-вечер-на-протести/
